iter	Passed	Remaining
0	8	8567
1	16	8241
2	24	8218
3	32	8200
4	41	8317
5	50	8304
6	58	8240
7	66	8264
8	74	8197
9	83	8233
10	90	8163
11	98	8105
12	106	8076
13	114	8077
14	122	8027
15	130	7995
16	137	7974
17	145	7947
18	153	7919
19	161	7894
20	168	7874
21	176	7850
22	184	7836
23	192	7832
24	200	7815
25	209	7837
26	217	7827
27	225	7829
28	233	7817
29	241	7805
30	249	7784
31	256	7764
32	264	7759
33	272	7736
34	280	7744
35	289	7751
36	297	7743
37	305	7731
38	315	7778
39	325	7811
40	335	7841
41	343	7831
42	351	7813
43	359	7806
44	367	7804
45	375	7795
46	383	7776
47	391	7765
48	399	7748
49	407	7741
50	415	7732
51	424	7747
52	432	7733
53	442	7743
54	449	7728
55	458	7721
56	465	7706
57	473	7697
58	482	7690
59	490	7687
60	498	7677
61	506	7669
62	514	7654
63	523	7649
64	530	7637
65	539	7633
66	547	7626
67	555	7616
68	563	7605
69	572	7603
70	580	7590
71	588	7588
72	596	7571
73	604	7565
74	612	7552
75	620	7544
76	629	7542
77	637	7540
78	645	7526
79	653	7517
80	661	7504
81	669	7497
82	677	7484
83	685	7475
84	693	7464
85	701	7455
86	709	7443
87	717	7435
88	725	7422
89	733	7415
90	741	7409
91	750	7410
92	758	7398
93	767	7392
94	774	7380
95	783	7374
96	790	7363
97	799	7363
98	807	7351
99	814	7332
100	822	7317
101	831	7320
102	839	7312
103	848	7311
104	856	7296
105	864	7289
106	872	7278
107	880	7272
108	888	7259
109	896	7250
110	903	7239
111	912	7232
112	920	7221
113	928	7215
114	935	7202
115	944	7194
116	952	7184
117	960	7177
118	968	7166
119	976	7162
120	984	7152
121	993	7147
122	1001	7139
123	1009	7132
124	1017	7122
125	1025	7112
126	1034	7114
127	1043	7109
128	1051	7096
129	1059	7092
130	1067	7080
131	1076	7077
132	1083	7065
133	1092	7059
134	1100	7052
135	1108	7042
136	1115	7029
137	1124	7022
138	1132	7012
139	1140	7007
140	1148	6994
141	1156	6986
142	1164	6976
143	1172	6971
144	1180	6959
145	1188	6953
146	1196	6943
147	1204	6936
148	1212	6926
149	1221	6920
150	1228	6909
151	1237	6903
152	1245	6896
153	1254	6891
154	1263	6886
155	1272	6884
156	1280	6873
157	1289	6871
158	1299	6873
159	1309	6872
160	1317	6864
161	1324	6852
162	1333	6849
163	1341	6840
164	1350	6836
165	1358	6827
166	1367	6818
